"","Survived","Pclass","Sex","Age","Fare","Embarked"
"152",0,1,"male",36,40.125,"C"
"153",0,3,"male",7,39.6875,"S"
"154",0,3,"male",1,39.6875,"S"
"155",0,3,"male",16,39.6875,"S"
"156",0,3,"female",41,39.6875,"S"
"157",0,3,"male",14,39.6875,"S"
"158",0,3,"male",2,39.6875,"S"
"159",1,1,"female",48,39.6,"C"
"160",1,1,"female",16,39.4,"S"
"161",1,2,"male",1,39,"S"
"162",1,2,"female",4,39,"S"
"163",1,2,"female",40,39,"S"
"164",0,2,"male",60,39,"S"
"165",0,1,"male",47,38.5,"S"
"166",0,2,"male",31,37.0042,"C"
"167",1,2,"male",1,37.0042,"C"
"168",0,2,"male",19,36.75,"S"
"169",1,2,"male",8,36.75,"S"
"170",1,1,"male",28,35.5,"S"
"171",0,1,"male",45,35.5,"S"
"172",1,1,"male",56,35.5,"C"
"173",0,1,"male",71,34.6542,"C"
"174",0,3,"male",16,34.375,"S"
"175",0,3,"female",9,34.375,"S"
"176",0,3,"female",21,34.375,"S"
"177",0,3,"female",48,34.375,"S"
"178",0,1,"male",47,34.0208,"S"
"179",0,1,"male",61,33.5,"S"
"180",1,2,"female",6,33,"S"
"181",0,2,"male",28,33,"S"
"182",1,2,"female",34,32.5,"S"
"183",0,1,"male",61,32.3208,"S"
"184",1,3,"female",38,31.3875,"S"
"185",0,3,"male",9,31.3875,"S"
"186",1,3,"female",5,31.3875,"S"
"187",1,3,"male",3,31.3875,"S"
"188",0,3,"male",39,31.275,"S"
"189",0,3,"female",2,31.275,"S"
"190",0,3,"female",9,31.275,"S"
"191",0,3,"female",11,31.275,"S"
"192",0,3,"female",39,31.275,"S"
"193",0,3,"female",6,31.275,"S"
"194",0,3,"male",4,31.275,"S"
"195",1,1,"male",40,31,"C"
"196",1,1,"female",30,31,"C"
"197",0,1,"male",56,30.6958,"C"
"198",1,1,"male",52,30.5,"S"
"199",0,1,"male",55,30.5,"S"
"200",1,1,"male",27,30.5,"S"
"201",1,1,"male",32,30.5,"C"
"202",1,2,"female",14,30.0708,"C"
"203",0,2,"male",32.5,30.0708,"C"
"204",1,2,"female",25,30,"S"
"205",1,1,"male",80,30,"S"
"206",0,1,"male",29,30,"S"
"207",1,1,"female",19,30,"S"
"208",1,1,"male",26,30,"C"
"209",0,1,"male",37,29.7,"C"
"210",0,1,"male",58,29.7,"C"
"211",0,3,"male",2,29.125,"Q"
"212",0,3,"male",4,29.125,"Q"
"213",0,3,"male",7,29.125,"Q"
"214",0,3,"male",8,29.125,"Q"
"215",0,3,"female",39,29.125,"Q"
"216",1,2,"male",0.83,29,"S"
"217",1,2,"female",22,29,"S"
"218",0,1,"female",50,28.7125,"C"
"219",0,1,"male",45.5,28.5,"S"
"220",0,3,"male",4,27.9,"S"
"221",0,3,"female",45,27.9,"S"
"222",0,3,"male",40,27.9,"S"
"223",0,3,"female",9,27.9,"S"
"224",0,3,"female",2,27.9,"S"
"225",0,3,"male",10,27.9,"S"
"226",1,2,"female",5,27.75,"S"
"227",0,2,"male",36,27.75,"S"
"228",0,1,"male",30,27.75,"C"
"229",1,2,"female",33,27.75,"S"
"230",0,1,"male",40,27.7208,"C"
"231",1,1,"female",44,27.7208,"C"
"232",0,2,"male",29,27.7208,"C"
"233",0,2,"male",42,27,"S"
"234",1,2,"female",24,27,"S"
"235",1,1,"female",58,26.55,"S"
"236",1,1,"male",45,26.55,"S"
"237",0,1,"male",62,26.55,"S"
"238",1,1,"male",28,26.55,"S"
"239",1,1,"male",34,26.55,"S"
"240",0,1,"male",65,26.55,"S"
"241",1,1,"male",48,26.55,"S"
"242",0,1,"male",56,26.55,"S"
"243",0,1,"male",45,26.55,"S"
"244",0,1,"male",62,26.55,"S"
"245",1,1,"male",35,26.55,"C"
"246",0,1,"male",60,26.55,"S"
"247",1,1,"male",51,26.55,"S"
"248",1,1,"male",36,26.3875,"S"
"249",1,1,"male",36,26.2875,"S"
"250",1,1,"male",35,26.2875,"S"
"251",1,1,"male",42,26.2875,"S"
"252",1,1,"female",19,26.2833,"S"
"253",1,2,"female",8,26.25,"S"
"254",0,2,"male",43,26.25,"S"
"255",1,2,"female",45,26.25,"S"
"256",1,2,"female",7,26.25,"S"
"257",0,2,"male",31,26.25,"S"
"258",1,2,"female",31,26.25,"S"
"259",0,2,"male",35,26,"S"
"260",1,2,"female",29,26,"S"
"261",0,2,"male",34,26,"S"
"262",1,2,"female",29,26,"S"
"263",0,2,"male",36.5,26,"S"
"264",1,2,"male",3,26,"S"
"265",0,2,"male",44,26,"S"
"266",0,2,"male",54,26,"S"
"267",1,2,"female",50,26,"S"
"268",0,2,"female",26,26,"S"
"269",1,2,"female",24,26,"S"
"270",1,2,"male",2,26,"S"
"271",0,2,"male",46,26,"S"
"272",1,2,"female",28,26,"S"
"273",1,2,"female",19,26,"S"
"274",1,2,"female",42,26,"S"
"275",1,2,"female",33,26,"S"
"276",1,2,"female",36,26,"S"
"277",1,2,"female",2,26,"S"
"278",1,2,"male",32,26,"S"
"279",0,1,"male",64,26,"S"
"280",1,2,"female",19,26,"S"
"281",0,2,"male",27,26,"S"
"282",0,2,"male",54,26,"S"
"283",0,2,"male",37,26,"S"
"284",0,2,"male",39,26,"S"
"285",0,2,"male",25,26,"S"
"286",0,2,"male",16,26,"S"
"287",0,2,"female",44,26,"S"
"288",1,2,"female",25,26,"S"
"289",1,1,"female",49,25.9292,"S"
"290",1,1,"female",48,25.9292,"S"
"291",0,1,"male",47,25.5875,"S"
"292",0,3,"female",10,24.15,"S"
"293",0,3,"male",24,24.15,"S"
"294",0,3,"male",36,24.15,"S"
"295",0,3,"female",30,24.15,"S"
"296",0,3,"male",39,24.15,"S"
"297",0,2,"male",30,24,"C"
"298",1,2,"female",28,24,"C"
"299",1,2,"female",34,23,"S"
"300",1,2,"female",18,23,"S"
"301",1,2,"female",4,23,"S"
"302",1,2,"female",54,23,"S"
"303",0,3,"male",28,22.525,"S"
"304",1,3,"female",4,22.025,"S"
"305",0,3,"male",2,21.075,"S"
"306",0,3,"female",8,21.075,"S"
"307",0,3,"female",3,21.075,"S"
"308",0,3,"female",29,21.075,"S"
"309",0,2,"female",27,21,"S"
"310",0,2,"male",29,21,"S"
"311",1,2,"female",35,21,"S"
"312",0,2,"male",34,21,"S"
"313",0,2,"male",34,21,"S"
"314",1,2,"female",30,21,"S"
"315",0,3,"male",26,20.575,"S"
"316",1,3,"male",1,20.575,"S"
"317",1,3,"male",9,20.525,"S"
"318",1,3,"female",31,20.525,"S"
"319",0,3,"male",33,20.525,"S"
"320",1,3,"female",35,20.25,"S"
"321",0,3,"male",16,20.25,"S"
"322",0,3,"female",41,20.2125,"S"
"323",0,3,"male",18,20.2125,"S"
"324",1,2,"female",41,19.5,"S"
"325",1,2,"female",13,19.5,"S"
"326",1,3,"female",5,19.2583,"C"
"327",1,3,"female",0.75,19.2583,"C"
"328",1,3,"female",0.75,19.2583,"C"
"329",1,3,"female",24,19.2583,"C"
"330",1,3,"male",26,18.7875,"C"
"331",0,3,"male",11,18.7875,"C"
"332",1,2,"male",3,18.75,"S"
"333",1,2,"female",24,18.75,"S"
"334",1,2,"male",0.83,18.75,"S"
"335",0,3,"female",31,18,"S"
"336",0,3,"female",18,18,"S"
"337",0,3,"male",16,18,"S"
"338",0,3,"female",18,17.8,"S"
"339",0,3,"male",25,17.8,"S"
"340",1,3,"female",36,17.4,"S"
"341",1,3,"female",4,16.7,"S"
"342",1,3,"female",24,16.7,"S"
"343",0,3,"male",44,16.1,"S"
"344",0,3,"male",30,16.1,"S"
"345",0,3,"female",26,16.1,"S"
"346",0,3,"male",21,16.1,"S"
"347",0,3,"male",28.5,16.1,"S"
"348",0,3,"male",24,16.1,"S"
"349",1,2,"female",55,16,"S"
"350",1,3,"male",3,15.9,"S"
"351",1,3,"male",9,15.9,"S"
"352",1,3,"female",33,15.85,"S"
"353",1,3,"female",24,15.85,"S"
"354",0,3,"male",32,15.85,"S"
"355",0,3,"male",28,15.85,"S"
"356",1,2,"female",40,15.75,"S"
"357",1,3,"female",1,15.7417,"C"
"358",1,3,"male",20,15.7417,"C"
"359",0,3,"male",36,15.55,"S"
"360",0,3,"male",40,15.5,"Q"
"361",0,3,"female",32,15.5,"Q"
"362",1,3,"female",29,15.2458,"C"
"363",0,3,"female",9,15.2458,"C"
"364",0,2,"male",23,15.0458,"C"
"365",0,2,"male",47,15,"S"
"366",0,3,"female",47,14.5,"S"
"367",0,3,"male",40.5,14.5,"S"
"368",1,2,"female",24,14.5,"S"
"369",0,3,"male",19,14.5,"S"
"370",1,2,"male",0.67,14.5,"S"
"371",0,3,"female",17,14.4583,"C"
"372",0,3,"male",26,14.4542,"C"
"373",0,3,"female",14.5,14.4542,"C"
"374",0,3,"female",45,14.4542,"C"
"375",0,3,"male",27,14.4542,"C"
"376",0,3,"female",18,14.4542,"C"
"377",1,3,"female",15,14.4542,"C"
"378",0,3,"female",28,14.4,"S"
"379",0,3,"male",34,14.4,"S"
"380",0,3,"male",41,14.1083,"S"
"381",0,2,"male",54,14,"S"
"382",1,2,"female",27,13.8583,"C"
"383",1,2,"female",23,13.7917,"C"
"384",0,2,"male",59,13.5,"S"
"385",0,2,"male",28,13.5,"S"
"386",0,2,"male",52,13.5,"S"
"387",1,2,"female",45,13.5,"S"
"388",1,3,"female",4,13.4167,"C"
"389",1,2,"male",34,13,"S"
"390",1,2,"female",32.5,13,"S"
"391",0,2,"male",25,13,"S"
"392",0,2,"male",42,13,"S"
"393",0,2,"male",30,13,"S"
"394",1,2,"female",32,13,"S"
"395",0,2,"male",19,13,"S"
"396",0,2,"female",24,13,"S"
"397",0,2,"male",30,13,"S"
"398",0,2,"male",27,13,"S"
"399",0,2,"male",18,13,"S"
"400",1,2,"male",42,13,"S"
"401",1,2,"female",36,13,"S"
"402",0,2,"male",28,13,"S"
"403",0,2,"male",25,13,"S"
"404",0,2,"male",36,13,"S"
"405",1,2,"female",24,13,"S"
"406",1,2,"female",40,13,"S"
"407",0,2,"female",38,13,"S"
"408",1,2,"female",36,13,"S"
"409",1,2,"female",18,13,"S"
"410",0,2,"male",30,13,"S"
"411",1,2,"female",28,13,"S"
"412",0,2,"male",48,13,"S"
"413",1,2,"female",34,13,"S"
"414",1,2,"female",28,13,"S"
"415",0,2,"male",23,13,"S"
"416",0,2,"male",25,13,"S"
"417",1,2,"male",31,13,"S"
"418",0,2,"male",52,13,"S"
"419",0,2,"male",34,13,"S"
"420",0,2,"male",50,13,"S"
"421",0,2,"male",23,13,"S"
"422",0,2,"male",23,13,"S"
"423",1,2,"female",30,13,"S"
"424",0,2,"male",39,13,"S"
"425",0,2,"male",34,13,"S"
"426",0,2,"male",39,13,"S"
"427",0,2,"male",24,13,"S"
"428",1,2,"female",42,13,"S"
"429",0,2,"male",27,13,"S"
"430",0,2,"male",36,12.875,"C"
"431",1,2,"female",28,12.65,"S"
"432",0,2,"male",51,12.525,"S"
"433",1,3,"female",30,12.475,"S"
"434",1,3,"male",6,12.475,"S"
"435",1,3,"female",5,12.475,"S"
"436",1,3,"female",27,12.475,"S"
"437",1,2,"female",30,12.35,"Q"
"438",0,2,"male",57,12.35,"Q"
"439",1,3,"female",2,12.2875,"S"
"440",0,2,"male",33,12.275,"S"
"441",1,2,"female",17,12,"C"
"442",0,2,"male",18,11.5,"S"
"443",0,2,"male",23,11.5,"S"
"444",0,2,"male",18,11.5,"S"
"445",0,2,"male",21,11.5,"S"
"446",1,3,"female",14,11.2417,"C"
"447",1,3,"male",12,11.2417,"C"
"448",1,3,"female",27,11.1333,"S"
"449",1,3,"female",1,11.1333,"S"
"450",1,3,"male",4,11.1333,"S"
"451",0,3,"female",22,10.5167,"S"
"452",0,2,"male",66,10.5,"S"
"453",1,2,"female",21,10.5,"S"
"454",1,2,"female",29,10.5,"S"
"455",0,2,"male",32,10.5,"S"
"456",1,2,"female",17,10.5,"S"
"457",0,2,"male",30,10.5,"S"
"458",1,2,"male",19,10.5,"S"
"459",0,2,"male",24,10.5,"S"
"460",0,2,"male",19,10.5,"S"
"461",0,2,"male",29,10.5,"S"
"462",0,2,"male",36,10.5,"S"
"463",0,2,"male",23,10.5,"S"
"464",0,2,"male",31,10.5,"S"
"465",1,2,"female",50,10.5,"S"
"466",1,2,"female",34,10.5,"S"
"467",1,2,"female",50,10.5,"S"
"468",1,2,"male",62,10.5,"S"
"469",0,2,"male",26,10.5,"S"
"470",0,2,"male",70,10.5,"S"
"471",1,2,"female",27,10.5,"S"
"472",0,2,"female",57,10.5,"S"
"473",0,2,"male",35,10.5,"S"
"474",0,2,"male",16,10.5,"S"
"475",0,2,"male",28,10.5,"S"
"476",0,3,"female",2,10.4625,"S"
"477",0,3,"female",29,10.4625,"S"
"478",0,3,"male",19,10.1708,"S"
"479",0,3,"male",20,9.8458,"S"
"480",1,3,"female",18,9.8417,"S"
"481",0,3,"female",22,9.8375,"S"
"482",0,3,"female",20,9.825,"S"
"483",0,3,"female",21,9.825,"S"
"484",1,3,"female",63,9.5875,"S"
"485",0,3,"female",37,9.5875,"S"
"486",1,3,"male",29,9.5,"S"
"487",0,3,"male",28,9.5,"S"
"488",0,3,"male",16,9.5,"S"
"489",1,3,"male",30,9.5,"S"
"490",0,3,"male",28,9.5,"S"
"491",0,3,"male",20,9.5,"S"
"492",0,3,"male",33,9.5,"S"
"493",0,3,"male",24,9.5,"S"
"494",0,3,"male",29,9.4833,"S"
"495",0,3,"female",40,9.475,"S"
"496",0,3,"male",22,9.35,"S"
"497",1,3,"female",18,9.35,"S"
"498",0,3,"male",23,9.225,"S"
"499",0,3,"male",20,9.225,"S"
"500",0,3,"male",16,9.2167,"S"
"501",0,3,"male",22,9,"S"
"502",0,3,"male",47,9,"S"
"503",0,3,"female",24,8.85,"S"
"504",1,3,"female",31,8.6833,"S"
"505",0,3,"male",26,8.6625,"S"
"506",0,3,"male",17,8.6625,"S"
"507",0,3,"male",33,8.6625,"C"
"508",0,3,"male",42,8.6625,"S"
"509",0,3,"female",20,8.6625,"S"
"510",0,3,"male",38,8.6625,"S"
"511",0,3,"male",17,8.6625,"S"
"512",0,3,"female",30,8.6625,"S"
"513",0,3,"male",20,8.6625,"S"
"514",1,3,"male",27,8.6625,"S"
"515",0,3,"male",21,8.6625,"S"
"516",0,3,"male",17,8.6625,"S"
"517",0,3,"male",33,8.6542,"S"
"518",1,3,"male",0.42,8.5167,"C"
"519",0,3,"male",21,8.4333,"S"
"520",0,3,"male",42,8.4042,"S"
"521",0,3,"male",32,8.3625,"S"
"522",0,3,"male",18,8.3,"S"
"523",0,3,"male",19,8.1583,"S"
"524",0,3,"male",35,8.05,"S"
"525",0,3,"male",20,8.05,"S"
"526",0,3,"male",21,8.05,"S"
"527",0,3,"male",24,8.05,"S"
"528",0,3,"male",29,8.05,"S"
"529",0,3,"male",22,8.05,"S"
"530",0,3,"male",55.5,8.05,"S"
"531",0,3,"male",30,8.05,"S"
"532",1,3,"male",18,8.05,"S"
"533",1,3,"male",16,8.05,"S"
"534",0,3,"male",51,8.05,"S"
"535",1,3,"male",19,8.05,"S"
"536",1,3,"male",45,8.05,"S"
"537",0,3,"male",19,8.05,"S"
"538",0,3,"male",26,8.05,"S"
"539",1,3,"male",32,8.05,"S"
"540",0,3,"male",34,8.05,"S"
"541",0,3,"male",50,8.05,"S"
"542",0,3,"male",30,8.05,"S"
"543",0,3,"male",21,8.05,"S"
"544",0,3,"male",16,8.05,"S"
"545",0,3,"male",22,8.05,"S"
"546",0,3,"male",44,8.05,"S"
"547",0,3,"male",35,8.05,"S"
"548",0,3,"male",43,8.05,"S"
"549",0,3,"male",24.5,8.05,"S"
"550",0,3,"male",44,8.05,"S"
"551",0,3,"male",34,8.05,"S"
"552",0,3,"male",30.5,8.05,"S"
"553",1,3,"female",15,8.0292,"Q"
"554",1,3,"female",26,7.925,"S"
"555",1,3,"female",17,7.925,"S"
"556",0,3,"male",37,7.925,"S"
"557",0,3,"male",21,7.925,"S"
"558",0,3,"male",21,7.925,"S"
"559",1,3,"female",27,7.925,"S"
"560",0,3,"male",32,7.925,"S"
"561",0,3,"male",28,7.925,"S"
"562",1,3,"male",39,7.925,"S"
"563",1,3,"male",44,7.925,"S"
"564",0,3,"male",39,7.925,"S"
"565",1,3,"male",32,7.925,"S"
"566",0,3,"male",32,7.925,"S"
"567",1,3,"male",20,7.925,"S"
"568",0,3,"female",25,7.925,"S"
"569",1,3,"male",31,7.925,"S"
"570",0,3,"female",23,7.925,"S"
"571",0,3,"male",20,7.925,"S"
"572",0,3,"female",28,7.8958,"S"
"573",0,3,"male",28,7.8958,"S"
"574",0,3,"male",38,7.8958,"S"
"575",0,3,"male",33,7.8958,"C"
"576",0,3,"male",36,7.8958,"S"
"577",0,3,"male",22,7.8958,"S"
"578",0,3,"male",24,7.8958,"S"
"579",0,3,"male",28,7.8958,"S"
"580",0,3,"male",27,7.8958,"S"
"581",1,3,"male",29,7.8958,"C"
"582",0,3,"male",32,7.8958,"S"
"583",0,3,"male",22,7.8958,"S"
"584",0,3,"male",40,7.8958,"S"
"585",0,3,"male",19,7.8958,"S"
"586",0,3,"male",30,7.8958,"S"
"587",0,3,"male",26,7.8958,"S"
"588",0,3,"male",19,7.8958,"S"
"589",0,3,"male",23,7.8958,"S"
"590",0,3,"male",25,7.8958,"S"
"591",0,3,"male",35,7.8958,"C"
"592",0,3,"male",26,7.8958,"S"
"593",0,3,"male",19,7.8958,"S"
"594",0,3,"male",33,7.8958,"S"
"595",0,3,"male",26,7.8875,"S"
"596",1,3,"female",19,7.8792,"Q"
"597",0,3,"male",29,7.875,"S"
"598",0,3,"female",14,7.8542,"S"
"599",0,3,"male",20,7.8542,"S"
"600",0,3,"male",18,7.8542,"S"
"601",1,3,"female",19,7.8542,"S"
"602",0,3,"male",28,7.8542,"S"
"603",1,3,"female",26,7.8542,"S"
"604",0,3,"female",31,7.8542,"S"
"605",1,3,"male",32,7.8542,"S"
"606",0,3,"male",21,7.8542,"S"
"607",0,3,"male",20,7.8542,"S"
"608",0,3,"male",26,7.8542,"S"
"609",0,3,"male",48,7.8542,"S"
"610",0,3,"male",23,7.8542,"S"
"611",0,3,"male",21,7.8,"S"
"612",1,3,"male",27,7.7958,"S"
"613",1,3,"male",21,7.7958,"S"
"614",0,3,"male",22,7.7958,"S"
"615",0,3,"male",24,7.7958,"S"
"616",0,3,"male",18,7.7958,"S"
"617",0,3,"male",28,7.7958,"S"
"618",0,3,"male",26,7.775,"S"
"619",0,3,"male",29,7.775,"S"
"620",0,3,"female",25,7.775,"S"
"621",1,3,"male",25,7.775,"S"
"622",0,3,"male",19,7.775,"S"
"623",0,3,"male",21,7.775,"S"
"624",0,3,"male",25,7.775,"S"
"625",1,3,"female",22,7.775,"S"
"626",0,3,"male",18,7.775,"S"
"627",0,3,"male",33,7.775,"S"
"628",0,3,"male",16,7.775,"S"
"629",0,3,"male",31,7.775,"S"
"630",0,3,"female",18,7.775,"S"
"631",0,3,"male",74,7.775,"S"
"632",0,3,"male",70.5,7.75,"Q"
"633",1,3,"female",22,7.75,"S"
"634",1,3,"female",16,7.75,"Q"
"635",0,3,"female",45,7.75,"S"
"636",0,3,"male",65,7.75,"Q"
"637",1,3,"female",22,7.75,"Q"
"638",0,3,"male",51,7.75,"S"
"639",0,3,"female",21,7.75,"Q"
"640",1,3,"male",29,7.75,"Q"
"641",0,3,"male",40.5,7.75,"Q"
"642",0,3,"male",31,7.75,"Q"
"643",0,3,"female",30.5,7.75,"Q"
"644",0,3,"male",18,7.75,"S"
"645",0,3,"male",32,7.75,"Q"
"646",0,3,"male",25,7.7417,"Q"
"647",1,3,"female",16,7.7333,"Q"
"648",0,3,"male",21,7.7333,"Q"
"649",0,3,"male",25,7.65,"S"
"650",1,3,"female",21,7.65,"S"
"651",0,3,"male",42,7.65,"S"
"652",0,3,"male",19,7.65,"S"
"653",1,3,"female",23,7.55,"S"
"654",0,3,"male",42,7.55,"S"
"655",0,3,"male",22,7.5208,"S"
"656",0,3,"male",24,7.4958,"S"
"657",0,3,"male",36,7.4958,"S"
"658",1,3,"female",18,7.4958,"S"
"659",0,3,"male",22,7.25,"S"
"660",0,3,"male",59,7.25,"S"
"661",0,3,"male",22,7.25,"S"
"662",0,3,"male",20.5,7.25,"S"
"663",0,3,"male",22,7.25,"S"
"664",0,3,"male",30,7.25,"S"
"665",1,3,"female",22,7.25,"S"
"666",0,3,"male",21,7.25,"S"
"667",0,3,"male",47,7.25,"S"
"668",0,3,"male",25,7.25,"S"
"669",0,3,"male",28.5,7.2292,"C"
"670",0,3,"male",22,7.2292,"C"
"671",0,3,"male",23.5,7.2292,"C"
"672",0,3,"male",15,7.2292,"C"
"673",0,3,"male",17,7.2292,"C"
"674",1,3,"male",20,7.2292,"C"
"675",1,3,"female",13,7.2292,"C"
"676",0,3,"male",30,7.2292,"C"
"677",0,3,"male",45.5,7.225,"C"
"678",0,3,"male",30,7.225,"C"
"679",1,3,"male",22,7.225,"C"
"680",0,3,"male",40,7.225,"C"
"681",0,3,"male",25,7.225,"C"
"682",1,3,"female",15,7.225,"C"
"683",1,3,"male",24,7.1417,"S"
"684",0,3,"male",22,7.125,"S"
"685",0,3,"male",17,7.125,"S"
"686",0,3,"male",35,7.125,"S"
"687",0,3,"male",41,7.125,"S"
"688",0,3,"male",51,7.0542,"S"
"689",0,3,"male",17,7.0542,"S"
"690",0,3,"male",20,7.05,"S"
"691",0,3,"male",24,7.05,"S"
"692",0,3,"male",35,7.05,"S"
"693",0,3,"male",38,7.05,"S"
"694",0,3,"male",25,7.05,"S"
"695",0,3,"male",25,7.05,"S"
"696",0,3,"male",29,7.0458,"S"
